epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7249,1.04231,2.64927,1.37978,0.77165,0.83333,0.8885,0.6543,1.43525,1.40122,1.28201,0,0,0
2,40.8862,1.06671,3.00596,1.39913,0.80665,0.75,0.87458,0.64242,1.45841,1.41151,1.28874,1.16644e-06,1.16644e-06,1.16644e-06
3,56.5517,0.79355,2.97274,1.29883,0.75292,0.75,0.87432,0.63408,1.47949,1.4336,1.30171,2.28575e-06,2.28575e-06,2.28575e-06
4,68.216,1.42879,2.79282,1.93201,0.70605,0.75,0.87469,0.60304,1.49308,1.4631,1.30806,3.35794e-06,3.35794e-06,3.35794e-06
5,79.1444,1.17201,3.50616,1.64705,0.68138,0.75,0.87495,0.6013,1.50912,1.46492,1.3127,4.38301e-06,4.38301e-06,4.38301e-06
6,90.2045,1.0369,2.57768,1.3315,0.68394,0.75,0.87497,0.58939,1.5285,1.50214,1.32205,5.36095e-06,5.36095e-06,5.36095e-06
7,101.209,1.02504,2.60635,1.35238,0.69079,0.75,0.88912,0.58876,1.54879,1.54022,1.33929,6.29177e-06,6.29177e-06,6.29177e-06
8,112.144,0.93948,2.34474,1.27832,0.82208,0.58333,0.88897,0.61962,1.57156,1.6192,1.36617,7.17546e-06,7.17546e-06,7.17546e-06
9,125.566,1.1305,3.49258,1.40857,0.82208,0.58333,0.88897,0.61962,1.57156,1.6192,1.36617,8.01203e-06,8.01203e-06,8.01203e-06
10,137.224,0.97961,2.65944,1.22808,0.78586,0.58333,0.83362,0.59471,1.56347,1.70513,1.36653,8.80148e-06,8.80148e-06,8.80148e-06
11,148.527,1.29519,2.88291,1.51122,0.78586,0.58333,0.83362,0.59471,1.56347,1.70513,1.36653,9.5438e-06,9.5438e-06,9.5438e-06
12,160.203,0.92256,2.3591,1.33505,0.74546,0.58333,0.75048,0.58641,1.55754,1.75427,1.36969,1.0239e-05,1.0239e-05,1.0239e-05
13,171.217,1.16387,2.58199,1.51128,0.74546,0.58333,0.75048,0.58641,1.55754,1.75427,1.36969,1.08871e-05,1.08871e-05,1.08871e-05
14,184.569,1.09817,2.75451,1.40827,0.7511,0.58333,0.7506,0.58645,1.57293,1.81222,1.37214,1.1488e-05,1.1488e-05,1.1488e-05
15,195.573,1.13456,1.95911,1.49182,0.7511,0.58333,0.7506,0.58645,1.57293,1.81222,1.37214,1.20418e-05,1.20418e-05,1.20418e-05
16,206.746,1.03284,2.75194,1.48603,0.94703,0.39159,0.75141,0.58664,1.58502,1.86392,1.37481,1.25486e-05,1.25486e-05,1.25486e-05
17,217.759,0.98434,2.58266,1.38781,0.94703,0.39159,0.75141,0.58664,1.58502,1.86392,1.37481,1.30081e-05,1.30081e-05,1.30081e-05
18,229.279,1.21824,2.55527,1.51306,0.94779,0.39053,0.66849,0.50286,1.56542,1.91671,1.35976,1.34206e-05,1.34206e-05,1.34206e-05
19,240.356,1.14146,1.95038,1.40624,0.94779,0.39053,0.66849,0.50286,1.56542,1.91671,1.35976,1.37859e-05,1.37859e-05,1.37859e-05
20,251.361,0.90684,1.85658,1.21062,0.94884,0.38931,0.61598,0.46471,1.59219,1.95366,1.37299,1.41041e-05,1.41041e-05,1.41041e-05
21,262.35,1.07664,3.15335,1.47356,0.94884,0.38931,0.61598,0.46471,1.59219,1.95366,1.37299,1.43752e-05,1.43752e-05,1.43752e-05
22,273.401,0.82211,2.36428,1.40705,0.94787,0.38968,0.60667,0.45942,1.63291,2.03566,1.40025,1.45992e-05,1.45992e-05,1.45992e-05
23,285.056,1.30401,2.00207,1.50768,0.94787,0.38968,0.60667,0.45942,1.63291,2.03566,1.40025,1.4776e-05,1.4776e-05,1.4776e-05
24,295.961,1.01624,2.08472,1.32501,0.94787,0.38968,0.60667,0.45942,1.63291,2.03566,1.40025,1.49057e-05,1.49057e-05,1.49057e-05
25,306.994,0.93627,2.22521,1.35033,0.94896,0.38914,0.60909,0.44064,1.6655,2.11043,1.43979,1.49883e-05,1.49883e-05,1.49883e-05
26,317.915,0.92602,1.9956,1.40455,0.94896,0.38914,0.60909,0.44064,1.6655,2.11043,1.43979,1.50238e-05,1.50238e-05,1.50238e-05
27,328.821,0.88761,1.83322,1.26874,0.94896,0.38914,0.60909,0.44064,1.6655,2.11043,1.43979,1.50121e-05,1.50121e-05,1.50121e-05
28,339.877,1.05337,1.94866,1.35921,0.95002,0.38799,0.59567,0.43494,1.69003,2.1957,1.4738,1.49533e-05,1.49533e-05,1.49533e-05
29,351.732,1.44676,2.49112,1.57249,0.95002,0.38799,0.59567,0.43494,1.69003,2.1957,1.4738,1.48474e-05,1.48474e-05,1.48474e-05
30,362.893,0.85611,1.85673,1.2122,0.95002,0.38799,0.59567,0.43494,1.69003,2.1957,1.4738,1.46944e-05,1.46944e-05,1.46944e-05
31,373.997,0.96171,1.84968,1.29745,0.95122,0.38649,0.59509,0.43077,1.71679,2.26606,1.52394,1.44942e-05,1.44942e-05,1.44942e-05
32,385.394,1.01843,1.73537,1.31269,0.95122,0.38649,0.59509,0.43077,1.71679,2.26606,1.52394,1.42469e-05,1.42469e-05,1.42469e-05
33,396.489,0.97691,1.96868,1.3794,0.95122,0.38649,0.59509,0.43077,1.71679,2.26606,1.52394,1.39525e-05,1.39525e-05,1.39525e-05
34,407.706,0.88296,1.86745,1.35436,0.94588,0.38333,0.49718,0.3377,1.73104,2.29117,1.53768,1.3611e-05,1.3611e-05,1.3611e-05
35,419.141,0.98422,1.79822,1.30738,0.94588,0.38333,0.49718,0.3377,1.73104,2.29117,1.53768,1.32223e-05,1.32223e-05,1.32223e-05
36,430.426,0.86828,1.74262,1.24008,0.94588,0.38333,0.49718,0.3377,1.73104,2.29117,1.53768,1.27866e-05,1.27866e-05,1.27866e-05
37,441.527,1.20359,2.47089,1.48766,0.94588,0.38333,0.49718,0.3377,1.73104,2.29117,1.53768,1.23036e-05,1.23036e-05,1.23036e-05
38,452.96,1.06783,2.12746,1.39312,0.95018,0.38603,0.41825,0.26622,1.78266,2.39642,1.58945,1.17736e-05,1.17736e-05,1.17736e-05
39,464.044,0.95903,2.59442,1.40093,0.95018,0.38603,0.41825,0.26622,1.78266,2.39642,1.58945,1.11965e-05,1.11965e-05,1.11965e-05
40,475.144,0.96836,1.60154,1.4366,0.95018,0.38603,0.41825,0.26622,1.78266,2.39642,1.58945,1.05722e-05,1.05722e-05,1.05722e-05
41,487.658,0.96131,1.793,1.3164,0.95018,0.38603,0.41825,0.26622,1.78266,2.39642,1.58945,9.9008e-06,9.9008e-06,9.9008e-06
42,499.018,0.776,1.14384,1.13014,0.94633,0.38333,0.41585,0.25538,1.76706,2.39849,1.58883,9.18228e-06,9.18228e-06,9.18228e-06
43,510.616,0.77879,1.4713,1.31661,0.94633,0.38333,0.41585,0.25538,1.76706,2.39849,1.58883,8.41663e-06,8.41663e-06,8.41663e-06
44,521.792,0.69715,0.85943,1.11258,0.94633,0.38333,0.41585,0.25538,1.76706,2.39849,1.58883,7.60386e-06,7.60386e-06,7.60386e-06
45,532.893,0.66882,1.03352,1.11515,0.94633,0.38333,0.41585,0.25538,1.76706,2.39849,1.58883,6.74397e-06,6.74397e-06,6.74397e-06
46,544.296,0.80844,1.23391,1.19818,0.94644,0.38333,0.41723,0.26396,1.75531,2.40811,1.58872,5.83695e-06,5.83695e-06,5.83695e-06
47,556.868,0.70229,0.86802,1.1669,0.94644,0.38333,0.41723,0.26396,1.75531,2.40811,1.58872,4.88281e-06,4.88281e-06,4.88281e-06
48,575.046,0.65569,0.97835,1.10071,0.94644,0.38333,0.41723,0.26396,1.75531,2.40811,1.58872,3.88154e-06,3.88154e-06,3.88154e-06
49,588.1,0.60589,1.10084,1.02315,0.94644,0.38333,0.41723,0.26396,1.75531,2.40811,1.58872,2.83315e-06,2.83315e-06,2.83315e-06
50,601.452,0.75367,1.19986,1.19231,0.94486,0.38333,0.42452,0.26622,1.7523,2.41926,1.57006,1.73764e-06,1.73764e-06,1.73764e-06
